BGC,Unit,Spp,ESuit
CWHvmy,CWHvmy/111,Fd,1
CWHvmy,CWHvmy/111,Hw,1
CWHvmy,CWHvmy/111,Act,2
CWHvmz,CWHvmz/101,Ba,1
CWHvmz,CWHvmz/101,Cw,2
CWHvmz,CWHvmz/101,Dr,3
CWHvmz,CWHvmz/101,Fd,3
CWHvmz,CWHvmz/101,Hw,1
CWHvmz,CWHvmz/101,Pw,3
CWHvmz,CWHvmz/101,Yc,3
CWHvmz,CWHvmz/101,Bp,2
CWHvmz,CWHvmz/102,Ba,3
CWHvmz,CWHvmz/102,Cw,1
CWHvmz,CWHvmz/102,Fd,1
CWHvmz,CWHvmz/102,Hw,1
CWHvmz,CWHvmz/102,Pw,3
CWHvmz,CWHvmz/110,Ba,1
CWHvmz,CWHvmz/110,Cw,2
CWHvmz,CWHvmz/110,Dr,2
CWHvmz,CWHvmz/110,Fd,2
CWHvmz,CWHvmz/110,Hw,1
CWHvmz,CWHvmz/110,Yc,2
CWHvmz,CWHvmz/110,Act,2
CWHvmz,CWHvmz/110,Bp,2
CWHvmz,CWHvmz/110,Ss,2
CWHvmz,CWHvmz/111,Ba,1
CWHvmz,CWHvmz/111,Cw,2
CWHvmz,CWHvmz/111,Dr,2
CWHvmz,CWHvmz/111,Hw,1
CWHvmz,CWHvmz/111,Ss,2
CWHvmz,CWHvmz/111,Yc,2
CWHvmz,CWHvmz/111,Act,2
CWHwh1,CWHwh1/101,Cw,1
CWHwh1,CWHwh1/101,Dr,2
CWHwh1,CWHwh1/101,Hw,1
CWHwh1,CWHwh1/101,Ss,1
CWHwh1,CWHwh1/102,Cw,1
CWHwh1,CWHwh1/102,Dr,3
CWHwh1,CWHwh1/102,Hw,1
CWHwh1,CWHwh1/102,Pl,3
CWHwh1,CWHwh1/102,Ss,2
CWHwh1,CWHwh1/104,Cw,3
CWHwh1,CWHwh1/104,Dr,3
CWHwh1,CWHwh1/104,Hw,3
CWHwh1,CWHwh1/104,Ss,1
CWHwh1,CWHwh1/105,Cw,1
CWHwh1,CWHwh1/105,Dr,2
CWHwh1,CWHwh1/105,Hw,2
CWHwh1,CWHwh1/105,Ss,1
CWHwh1,CWHwh1/110,Cw,1
CWHwh1,CWHwh1/110,Dr,3
CWHwh1,CWHwh1/110,Hw,1
CWHwh1,CWHwh1/110,Pl,3
CWHwh1,CWHwh1/110,Ss,3
CWHwh1,CWHwh1/111,Cw,1
CWHwh1,CWHwh1/111,Dr,1
CWHwh1,CWHwh1/111,Hw,3
CWHwh1,CWHwh1/111,Ss,1
CWHwh1,CWHwh1/112,Cw,2
CWHwh1,CWHwh1/112,Dr,1
CWHwh1,CWHwh1/112,Hw,2
CWHwh1,CWHwh1/112,Ss,1
CWHwh1,CWHwh1/113,Cw,2
CWHwh1,CWHwh1/113,Dr,1
CWHwh1,CWHwh1/113,Hw,3
CWHwh1,CWHwh1/113,Ss,1
CWHwh1,CWHwh1/114,Dr,1
CWHwh1,CWHwh1/114,Ss,3
CWHwh1,CWHwh1/115,Cw,1
CWHwh1,CWHwh1/115,Dr,3
CWHwh1,CWHwh1/115,Hm,3
CWHwh1,CWHwh1/115,Hw,2
CWHwh1,CWHwh1/115,Pl,3
CWHwh1,CWHwh1/115,Yc,2
CWHwh1,CWHwh1/116,Cw,1
CWHwh1,CWHwh1/116,Dr,2
CWHwh1,CWHwh1/116,Hw,3
CWHwh1,CWHwh1/116,Ss,1
CWHwh1,CWHwh1/117,Cw,2
CWHwh1,CWHwh1/117,Dr,3
CWHwh1,CWHwh1/117,Hw,3
CWHwh1,CWHwh1/117,Ss,2
CWHwh1,CWHwh1/118,Cw,1
CWHwh1,CWHwh1/118,Dr,3
CWHwh1,CWHwh1/118,Hw,3
CWHwh1,CWHwh1/118,Pl,3
CWHwh1,CWHwh1/118,Ss,3
CWHwh1,CWHwh1/118,Yc,3
CWHwh1,CWHwh1/Wb51,Cw,3
CWHwh1,CWHwh1/Wb51,Pl,3
CWHwh1,CWHwh1/Wb51,Yc,3
CWHwh2,CWHwh2/101,Cw,2
CWHwh2,CWHwh2/101,Hm,3
CWHwh2,CWHwh2/101,Hw,1
CWHwh2,CWHwh2/101,Ss,2
CWHwh2,CWHwh2/101,Yc,1
CWHwh2,CWHwh2/110,Cw,2
CWHwh2,CWHwh2/110,Hm,3
CWHwh2,CWHwh2/110,Hw,1
CWHwh2,CWHwh2/110,Ss,2
CWHwh2,CWHwh2/110,Yc,1
CWHwh2,CWHwh2/111,Cw,3
CWHwh2,CWHwh2/111,Hm,2
CWHwh2,CWHwh2/111,Hw,2
CWHwh2,CWHwh2/111,Ss,3
CWHwh2,CWHwh2/111,Yc,2
CWHwh2,CWHwh2/112,Cw,2
CWHwh2,CWHwh2/112,Hm,3
CWHwh2,CWHwh2/112,Hw,2
CWHwh2,CWHwh2/112,Ss,2
CWHwh2,CWHwh2/112,Yc,1
CWHwhz,CWHwhz/101,Cw,2
CWHwhz,CWHwhz/101,Dr,2
CWHwhz,CWHwhz/101,Fd,1
CWHwhz,CWHwhz/101,Hw,1
CWHwhz,CWHwhz/101,Mb,3
CWHwhz,CWHwhz/101,Ss,2
CWHwhz,CWHwhz/102,Cw,2
CWHwhz,CWHwhz/102,Dr,1
CWHwhz,CWHwhz/102,Fd,1
CWHwhz,CWHwhz/102,Hw,1
CWHwhz,CWHwhz/102,Ss,2
CWHwhz,CWHwhz/110,Cw,2
CWHwhz,CWHwhz/110,Dr,1
CWHwhz,CWHwhz/110,Fd,1
CWHwhz,CWHwhz/110,Hw,1
CWHwhz,CWHwhz/110,Mb,3
CWHwhz,CWHwhz/110,Ss,2
CWHwhz,CWHwhz/111,Cw,2
CWHwhz,CWHwhz/111,Dr,1
CWHwhz,CWHwhz/111,Fd,1
CWHwhz,CWHwhz/111,Hw,1
CWHwhz,CWHwhz/111,Mb,3
CWHwhz,CWHwhz/111,Ss,2
CWHwm,CWHwm/01,Ba,3
CWHwm,CWHwm/01,Cw,4
CWHwm,CWHwm/01,Dr,2
CWHwm,CWHwm/01,Hm,3
CWHwm,CWHwm/01,Hw,1
CWHwm,CWHwm/01,Ss,1
CWHwm,CWHwm/01,Yc,3
CWHwm,CWHwm/02,Cw,4
CWHwm,CWHwm/02,Dr,3
CWHwm,CWHwm/02,Hm,3
CWHwm,CWHwm/02,Hw,1
CWHwm,CWHwm/02,Pl,1
CWHwm,CWHwm/02,Ss,3
CWHwm,CWHwm/03,Act,3
CWHwm,CWHwm/03,Ba,3
CWHwm,CWHwm/03,Cw,4
CWHwm,CWHwm/03,Dr,2
CWHwm,CWHwm/03,Hw,2
CWHwm,CWHwm/03,Ss,1
CWHwm,CWHwm/03,Yc,3
CWHwm,CWHwm/04,Act,1
CWHwm,CWHwm/04,Ba,3
CWHwm,CWHwm/04,Cw,4
CWHwm,CWHwm/04,Dr,1
CWHwm,CWHwm/04,Hw,2
CWHwm,CWHwm/04,Ss,1
CWHwm,CWHwm/04,Yc,3
CWHwm,CWHwm/05,Act,1
CWHwm,CWHwm/05,Ba,3
CWHwm,CWHwm/05,Cw,4
CWHwm,CWHwm/05,Dr,1
CWHwm,CWHwm/05,Hw,2
CWHwm,CWHwm/05,Ss,1
CWHwm,CWHwm/06,Act,1
CWHwm,CWHwm/06,Ba,3
CWHwm,CWHwm/06,Cw,4
CWHwm,CWHwm/06,Dr,1
CWHwm,CWHwm/06,Ss,2
CWHwm,CWHwm/09,Act,3
CWHwm,CWHwm/09,Cw,4
CWHwm,CWHwm/09,Dr,2
CWHwm,CWHwm/09,Hm,3
CWHwm,CWHwm/09,Hw,2
CWHwm,CWHwm/09,Ss,1
CWHwm,CWHwm/09,Yc,2
CWHwm,CWHwm/10,Cw,4
CWHwm,CWHwm/10,Hw,3
CWHwm,CWHwm/10,Pl,2
CWHwm,CWHwm/10,Yc,3
CWHws1,CWHws1/01,Ba,1
CWHws1,CWHws1/01,Cw,2
CWHws1,CWHws1/01,Dr,2
CWHws1,CWHws1/01,Hw,1
CWHws1,CWHws1/01,Pl,2
CWHws1,CWHws1/01,Ss,2
CWHws1,CWHws1/01,Sx,2
CWHws1,CWHws1/02,Cw,3
CWHws1,CWHws1/02,Hw,2
CWHws1,CWHws1/02,Pl,2
CWHws1,CWHws1/03,Ba,3
CWHws1,CWHws1/03,Cw,2
CWHws1,CWHws1/03,Hw,1
CWHws1,CWHws1/03,Pl,1
CWHws1,CWHws1/04,Act,1
CWHws1,CWHws1/04,Ba,1
CWHws1,CWHws1/04,Cw,1
CWHws1,CWHws1/04,Dr,1
CWHws1,CWHws1/04,Hw,2
CWHws1,CWHws1/04,Pl,3
CWHws1,CWHws1/04,Ss,2
CWHws1,CWHws1/04,Sx,2
CWHws1,CWHws1/05,Ba,1
CWHws1,CWHws1/05,Cw,1
CWHws1,CWHws1/05,Dr,2
CWHws1,CWHws1/05,Hw,1
CWHws1,CWHws1/05,Ss,2
CWHws1,CWHws1/05,Sx,2
CWHws1,CWHws1/06,Act,1
CWHws1,CWHws1/06,Ba,1
CWHws1,CWHws1/06,Cw,1
CWHws1,CWHws1/06,Dr,1
CWHws1,CWHws1/06,Hw,3
CWHws1,CWHws1/06,Ss,2
CWHws1,CWHws1/06,Sx,2
CWHws1,CWHws1/07,Act,1
CWHws1,CWHws1/07,Ba,1
CWHws1,CWHws1/07,Cw,1
CWHws1,CWHws1/07,Dr,1
CWHws1,CWHws1/07,Hw,2
CWHws1,CWHws1/07,Ss,2
CWHws1,CWHws1/07,Sx,2
CWHws1,CWHws1/08,Act,1
CWHws1,CWHws1/08,Ba,2
CWHws1,CWHws1/08,Cw,2
CWHws1,CWHws1/08,Dr,1
CWHws1,CWHws1/08,Hw,3
CWHws1,CWHws1/08,Ss,2
CWHws1,CWHws1/08,Sx,2
CWHws1,CWHws1/09,Act,2
CWHws1,CWHws1/09,Dr,1
CWHws1,CWHws1/10,Cw,3
CWHws1,CWHws1/10,Hw,3
CWHws1,CWHws1/10,Pl,2
CWHws1,CWHws1/11,Act,3
CWHws1,CWHws1/11,Ba,3
CWHws1,CWHws1/11,Cw,1
CWHws1,CWHws1/11,Dr,1
CWHws1,CWHws1/11,Hw,3
CWHws1,CWHws1/11,Ss,2
CWHws1,CWHws1/11,Sx,2
CWHws2,CWHws2/01,Act,3
CWHws2,CWHws2/01,Ba,1
CWHws2,CWHws2/01,Bl,2
CWHws2,CWHws2/01,Cw,2
CWHws2,CWHws2/01,Dr,2
CWHws2,CWHws2/01,Ep,3
CWHws2,CWHws2/01,Hm,3
CWHws2,CWHws2/01,Hw,1
CWHws2,CWHws2/01,Pl,2
CWHws2,CWHws2/01,Ss,2
CWHws2,CWHws2/01,Sx,2
CWHws2,CWHws2/02,Cw,3
CWHws2,CWHws2/02,Ep,3
CWHws2,CWHws2/02,Hm,3
CWHws2,CWHws2/02,Hw,3
CWHws2,CWHws2/02,Pl,2
CWHws2,CWHws2/03,Act,3
CWHws2,CWHws2/03,Ba,3
CWHws2,CWHws2/03,Cw,2
CWHws2,CWHws2/03,Dr,2
CWHws2,CWHws2/03,Ep,3
CWHws2,CWHws2/03,Fd,2
CWHws2,CWHws2/03,Hm,3
CWHws2,CWHws2/03,Hw,1
CWHws2,CWHws2/03,Pl,1
CWHws2,CWHws2/04,Act,3
CWHws2,CWHws2/04,Ba,1
CWHws2,CWHws2/04,Bl,2
CWHws2,CWHws2/04,Cw,2
CWHws2,CWHws2/04,Dr,2
CWHws2,CWHws2/04,Ep,3
CWHws2,CWHws2/04,Hm,3
CWHws2,CWHws2/04,Hw,2
CWHws2,CWHws2/04,Ss,2
CWHws2,CWHws2/04,Sx,2
CWHws2,CWHws2/05,Act,3
CWHws2,CWHws2/05,Ba,1
CWHws2,CWHws2/05,Bl,2
CWHws2,CWHws2/05,Cw,2
CWHws2,CWHws2/05,Dr,2
CWHws2,CWHws2/05,Ep,3
CWHws2,CWHws2/05,Hw,1
CWHws2,CWHws2/05,Ss,2
CWHws2,CWHws2/05,Sx,2
CWHws2,CWHws2/06,Act,1
CWHws2,CWHws2/06,Ba,2
CWHws2,CWHws2/06,Bl,2
CWHws2,CWHws2/06,Cw,2
CWHws2,CWHws2/06,Dr,1
CWHws2,CWHws2/06,Ep,3
CWHws2,CWHws2/06,Hw,2
CWHws2,CWHws2/06,Ss,2
CWHws2,CWHws2/06,Sx,2
CWHws2,CWHws2/07,Act,1
CWHws2,CWHws2/07,Ba,1
CWHws2,CWHws2/07,Bl,2
CWHws2,CWHws2/07,Cw,2
CWHws2,CWHws2/07,Dr,1
CWHws2,CWHws2/07,Ep,3
CWHws2,CWHws2/07,Hw,2
CWHws2,CWHws2/07,Ss,2
CWHws2,CWHws2/07,Sx,2
CWHws2,CWHws2/08,Act,1
CWHws2,CWHws2/08,Ba,2
CWHws2,CWHws2/08,Bl,2
CWHws2,CWHws2/08,Cw,2
CWHws2,CWHws2/08,Dr,1
CWHws2,CWHws2/08,Ep,3
CWHws2,CWHws2/08,Hw,3
CWHws2,CWHws2/08,Ss,2
CWHws2,CWHws2/08,Sx,2
CWHws2,CWHws2/09,Act,1
CWHws2,CWHws2/09,Dr,1
CWHws2,CWHws2/09,Ep,3
CWHws2,CWHws2/10,Cw,3
CWHws2,CWHws2/10,Ep,3
CWHws2,CWHws2/10,Hm,3
CWHws2,CWHws2/10,Hw,3
CWHws2,CWHws2/10,Pl,2
CWHws2,CWHws2/11,Act,1
CWHws2,CWHws2/11,Ba,3
CWHws2,CWHws2/11,Cw,2
CWHws2,CWHws2/11,Dr,1
CWHws2,CWHws2/11,Ep,3
CWHws2,CWHws2/11,Hw,3
CWHws2,CWHws2/11,Ss,2
CWHws2,CWHws2/11,Sx,2
CWHxm1,CWHxm1/01,Cw,2
CWHxm1,CWHxm1/01,Dr,2
CWHxm1,CWHxm1/01,Ep,3
CWHxm1,CWHxm1/01,Fd,1
CWHxm1,CWHxm1/01,Hw,2
CWHxm1,CWHxm1/01,Mb,2
CWHxm1,CWHxm1/01,Pw,3
CWHxm1,CWHxm1/01,Ra,2
CWHxm1,CWHxm1/02,Fd,2
CWHxm1,CWHxm1/02,Pl,1
CWHxm1,CWHxm1/02,Qg,3
CWHxm1,CWHxm1/02,Ra,2
CWHxm1,CWHxm1/03,Act,3
CWHxm1,CWHxm1/03,Cw,3
CWHxm1,CWHxm1/03,Dr,3
CWHxm1,CWHxm1/03,Ep,3
CWHxm1,CWHxm1/03,Fd,1
CWHxm1,CWHxm1/03,Hw,2
CWHxm1,CWHxm1/03,Mb,2
CWHxm1,CWHxm1/03,Pl,2
CWHxm1,CWHxm1/03,Ra,2
CWHxm1,CWHxm1/04,Act,3
CWHxm1,CWHxm1/04,Cw,3
CWHxm1,CWHxm1/04,Dr,3
CWHxm1,CWHxm1/04,Ep,3
CWHxm1,CWHxm1/04,Fd,1
CWHxm1,CWHxm1/04,Mb,2
CWHxm1,CWHxm1/04,Pw,3
CWHxm1,CWHxm1/05,Act,2
CWHxm1,CWHxm1/05,Bg,2
CWHxm1,CWHxm1/05,Cw,1
CWHxm1,CWHxm1/05,Dr,2
CWHxm1,CWHxm1/05,Ep,3
CWHxm1,CWHxm1/05,Fd,1
CWHxm1,CWHxm1/05,Hw,2
CWHxm1,CWHxm1/05,Mb,2
CWHxm1,CWHxm1/05,Pw,3
CWHxm1,CWHxm1/06,Act,3
CWHxm1,CWHxm1/06,Bg,3
CWHxm1,CWHxm1/06,Cw,1
CWHxm1,CWHxm1/06,Dr,2
CWHxm1,CWHxm1/06,Ep,3
CWHxm1,CWHxm1/06,Fd,2
CWHxm1,CWHxm1/06,Hw,1
CWHxm1,CWHxm1/06,Mb,2
CWHxm1,CWHxm1/07,Act,1
CWHxm1,CWHxm1/07,Bg,1
CWHxm1,CWHxm1/07,Cw,1
CWHxm1,CWHxm1/07,Dr,1
CWHxm1,CWHxm1/07,Ep,3
CWHxm1,CWHxm1/07,Fd,1
CWHxm1,CWHxm1/07,Hw,5
CWHxm1,CWHxm1/07,Mb,2
CWHxm1,CWHxm1/08,Act,1
CWHxm1,CWHxm1/08,Bg,1
CWHxm1,CWHxm1/08,Cw,1
CWHxm1,CWHxm1/08,Dr,1
CWHxm1,CWHxm1/08,Ep,3
CWHxm1,CWHxm1/08,Mb,2
CWHxm1,CWHxm1/08,Ss,2
CWHxm1,CWHxm1/09,Act,1
CWHxm1,CWHxm1/09,Bg,2
CWHxm1,CWHxm1/09,Cw,2
CWHxm1,CWHxm1/09,Dr,1
CWHxm1,CWHxm1/09,Ep,3
CWHxm1,CWHxm1/09,Mb,2
CWHxm1,CWHxm1/10,Act,1
CWHxm1,CWHxm1/10,Dr,1
CWHxm1,CWHxm1/10,Ep,3
CWHxm1,CWHxm1/10,Mb,2
CWHxm1,CWHxm1/11,Cw,3
CWHxm1,CWHxm1/11,Pl,1
CWHxm1,CWHxm1/12,Act,2
CWHxm1,CWHxm1/12,Cw,1
CWHxm1,CWHxm1/12,Dr,3
CWHxm1,CWHxm1/12,Ep,3
CWHxm1,CWHxm1/12,Hw,3
CWHxm1,CWHxm1/12,Mb,2
CWHxm1,CWHxm1/12,Pw,3
CWHxm1,CWHxm1/12,Ss,3
CWHxm1,CWHxm1/13,Act,1
CWHxm1,CWHxm1/13,Bg,2
CWHxm1,CWHxm1/13,Cw,1
CWHxm1,CWHxm1/13,Dr,1
CWHxm1,CWHxm1/13,Ep,3
CWHxm1,CWHxm1/13,Fd,2
CWHxm1,CWHxm1/13,Mb,2
CWHxm1,CWHxm1/14,Act,1
CWHxm1,CWHxm1/14,Bg,2
CWHxm1,CWHxm1/14,Cw,1
CWHxm1,CWHxm1/14,Dr,1
CWHxm1,CWHxm1/14,Ep,3
CWHxm1,CWHxm1/14,Mb,2
CWHxm1,CWHxm1/15,Act,1
CWHxm1,CWHxm1/15,Cw,1
CWHxm1,CWHxm1/15,Dr,1
CWHxm1,CWHxm1/15,Ep,3
CWHxm1,CWHxm1/15,Mb,3
CWHxm2,CWHxm2/01,Cw,2
CWHxm2,CWHxm2/01,Dr,2
CWHxm2,CWHxm2/01,Ep,3
CWHxm2,CWHxm2/01,Fd,1
CWHxm2,CWHxm2/01,Hw,1
CWHxm2,CWHxm2/01,Mb,2
CWHxm2,CWHxm2/01,Pw,3
CWHxm2,CWHxm2/01,Ra,2
CWHxm2,CWHxm2/02,Fd,2
CWHxm2,CWHxm2/02,Pl,1
CWHxm2,CWHxm2/02,Qg,3
CWHxm2,CWHxm2/02,Ra,2
CWHxm2,CWHxm2/03,Act,3
CWHxm2,CWHxm2/03,Cw,3
CWHxm2,CWHxm2/03,Dr,3
CWHxm2,CWHxm2/03,Ep,3
CWHxm2,CWHxm2/03,Fd,1
CWHxm2,CWHxm2/03,Hw,2
CWHxm2,CWHxm2/03,Mb,2
CWHxm2,CWHxm2/03,Pl,2
CWHxm2,CWHxm2/03,Ra,2
CWHxm2,CWHxm2/04,Act,3
CWHxm2,CWHxm2/04,Cw,3
CWHxm2,CWHxm2/04,Dr,3
CWHxm2,CWHxm2/04,Ep,3
CWHxm2,CWHxm2/04,Fd,1
CWHxm2,CWHxm2/04,Mb,2
CWHxm2,CWHxm2/04,Pw,3
CWHxm2,CWHxm2/05,Act,2
CWHxm2,CWHxm2/05,Bg,2
CWHxm2,CWHxm2/05,Cw,1
CWHxm2,CWHxm2/05,Dr,2
CWHxm2,CWHxm2/05,Ep,3
CWHxm2,CWHxm2/05,Fd,1
CWHxm2,CWHxm2/05,Hw,2
CWHxm2,CWHxm2/05,Mb,2
CWHxm2,CWHxm2/05,Pw,3
CWHxm2,CWHxm2/06,Act,3
CWHxm2,CWHxm2/06,Bg,3
CWHxm2,CWHxm2/06,Cw,1
CWHxm2,CWHxm2/06,Dr,2
CWHxm2,CWHxm2/06,Ep,3
CWHxm2,CWHxm2/06,Fd,2
CWHxm2,CWHxm2/06,Hw,1
CWHxm2,CWHxm2/06,Mb,2
CWHxm2,CWHxm2/07,Act,1
CWHxm2,CWHxm2/07,Bg,1
CWHxm2,CWHxm2/07,Cw,1
CWHxm2,CWHxm2/07,Dr,1
CWHxm2,CWHxm2/07,Ep,3
CWHxm2,CWHxm2/07,Fd,1
CWHxm2,CWHxm2/07,Hw,2
CWHxm2,CWHxm2/07,Mb,2
CWHxm2,CWHxm2/08,Act,1
CWHxm2,CWHxm2/08,Bg,1
CWHxm2,CWHxm2/08,Cw,1
CWHxm2,CWHxm2/08,Dr,1
CWHxm2,CWHxm2/08,Ep,3
CWHxm2,CWHxm2/08,Mb,2
CWHxm2,CWHxm2/08,Ss,2
CWHxm2,CWHxm2/09,Act,1
CWHxm2,CWHxm2/09,Bg,2
CWHxm2,CWHxm2/09,Cw,2
CWHxm2,CWHxm2/09,Dr,1
CWHxm2,CWHxm2/09,Ep,3
CWHxm2,CWHxm2/09,Mb,2
CWHxm2,CWHxm2/10,Act,1
CWHxm2,CWHxm2/10,Dr,1
CWHxm2,CWHxm2/10,Ep,3
CWHxm2,CWHxm2/10,Mb,2
CWHxm2,CWHxm2/11,Cw,3
CWHxm2,CWHxm2/11,Pl,2
CWHxm2,CWHxm2/12,Act,2
CWHxm2,CWHxm2/12,Cw,1
CWHxm2,CWHxm2/12,Dr,3
CWHxm2,CWHxm2/12,Ep,3
CWHxm2,CWHxm2/12,Hw,3
CWHxm2,CWHxm2/12,Mb,2
CWHxm2,CWHxm2/12,Pw,3
CWHxm2,CWHxm2/12,Ss,3
CWHxm2,CWHxm2/13,Act,1
CWHxm2,CWHxm2/13,Bg,2
CWHxm2,CWHxm2/13,Cw,1
CWHxm2,CWHxm2/13,Dr,1
CWHxm2,CWHxm2/13,Ep,3
CWHxm2,CWHxm2/13,Fd,2
CWHxm2,CWHxm2/13,Mb,2
CWHxm2,CWHxm2/14,Act,1
CWHxm2,CWHxm2/14,Bg,2
CWHxm2,CWHxm2/14,Cw,1
CWHxm2,CWHxm2/14,Dr,1
CWHxm2,CWHxm2/14,Ep,3
CWHxm2,CWHxm2/14,Mb,2
CWHxm2,CWHxm2/15,Act,1
CWHxm2,CWHxm2/15,Cw,1
CWHxm2,CWHxm2/15,Dr,1
CWHxm2,CWHxm2/15,Ep,3
CWHxm2,CWHxm2/15,Mb,3
CWHxmy,CWHxmy/101,Bg,3
CWHxmy,CWHxmy/101,Cw,2
CWHxmy,CWHxmy/101,Dr,3
CWHxmy,CWHxmy/101,Fd,1
CWHxmy,CWHxmy/101,Hw,1
CWHxmy,CWHxmy/101,Mb,2
CWHxmy,CWHxmy/101,Oa,2
CWHxmy,CWHxmy/101,Oy,3
CWHxmy,CWHxmy/101,Ra,3
CWHxmy,CWHxmy/102,Cw,2
CWHxmy,CWHxmy/102,Fd,1
CWHxmy,CWHxmy/102,Hw,2
CWHxmy,CWHxmy/102,Mb,2
CWHxmy,CWHxmy/102,Oa,2
CWHxmy,CWHxmy/102,Oy,3
CWHxmy,CWHxmy/102,Qg,3
CWHxmy,CWHxmy/102,Ra,3
CWHxmy,CWHxmy/110,Bg,3
CWHxmy,CWHxmy/110,Cw,1
CWHxmy,CWHxmy/110,Dr,2
CWHxmy,CWHxmy/110,Fd,1
CWHxmy,CWHxmy/110,Hw,1
CWHxmy,CWHxmy/110,Mb,2
CWHxmy,CWHxmy/110,Oa,3
CWHxmy,CWHxmy/111,Fd,1
CWHxmy,CWHxmy/111,Hw,1
CWHxmz,CWHxmy/111,Bg,1
CWHxmz,CWHxmy/111,Cw,1
CWHxmz,CWHxmy/111,Dr,1
CWHxmz,CWHxmy/111,Mb,2
CWHxmz,CWHxmz/101,Bg,3
CWHxmz,CWHxmz/101,Cw,2
CWHxmz,CWHxmz/101,Dr,2
CWHxmz,CWHxmz/101,Fd,1
CWHxmz,CWHxmz/101,Hw,2
CWHxmz,CWHxmz/101,Mb,3
CWHxmz,CWHxmz/101,Pl,3
CWHxmz,CWHxmz/102,Bg,3
CWHxmz,CWHxmz/102,Cw,3
CWHxmz,CWHxmz/102,Dr,3
CWHxmz,CWHxmz/102,Fd,1
CWHxmz,CWHxmz/102,Mb,3
CWHxmz,CWHxmz/110,Bg,3
CWHxmz,CWHxmz/110,Cw,2
CWHxmz,CWHxmz/110,Dr,1
CWHxmz,CWHxmz/110,Fd,1
CWHxmz,CWHxmz/110,Hw,2
CWHxmz,CWHxmz/110,Mb,2
CWHxmz,CWHxmz/110,Vb,3
CWHxmz,CWHxmz/110,Act,2
CWHxmz,CWHxmz/111,Cw,1
CWHxmz,CWHxmz/111,Dr,1
CWHxmz,CWHxmz/111,Fd,1
CWHxmz,CWHxmz/111,Mb,1
CWHxmz,CWHxmz/111,Act,2
ESSFab,ESSFab/b,Pl,1
ESSFab,ESSFab/b,Sx,3
ESSFab,ESSFab/c,At,2
ESSFab,ESSFab/c,Bb,3
ESSFab,ESSFab/c,Pl,1
ESSFab,ESSFab/c,Sx,2
ESSFab,ESSFab/d,Bl,2
ESSFab,ESSFab/d,Pl,1
ESSFab,ESSFab/d,Sb,3
ESSFab,ESSFab/d,Sx,1
ESSFab,ESSFab/f,Bl,2
ESSFab,ESSFab/f,Pl,1
ESSFab,ESSFab/f,Sb,2
ESSFab,ESSFab/f,Sx,1
ESSFab,ESSFab/g,Bl,3
ESSFab,ESSFab/g,Pl,3
ESSFab,ESSFab/g,Sx,1
ESSFab,ESSFab/h,Sb,1
ESSFab,ESSFab/i,Lt,3
ESSFab,ESSFab/i,Sb,1
ESSFab,ESSFab/i,Sx,1
ESSFcoz,ESSFcoz/00,X,1
ESSFdc1,ESSFdc1/101,Bl,2
ESSFdc1,ESSFdc1/101,Pl,2
ESSFdc1,ESSFdc1/101,Sx,1
ESSFdc1,ESSFdc1/102,Bl,3
ESSFdc1,ESSFdc1/102,Pa,3
ESSFdc1,ESSFdc1/102,Pl,1
ESSFdc1,ESSFdc1/102,Sx,2
ESSFdc1,ESSFdc1/103,Bl,3
ESSFdc1,ESSFdc1/103,Pa,3
ESSFdc1,ESSFdc1/103,Pl,1
ESSFdc1,ESSFdc1/103,Sx,2
ESSFdc1,ESSFdc1/110,Bl,1
ESSFdc1,ESSFdc1/110,Sx,1
ESSFdc1,ESSFdc1/111,Bl,1
ESSFdc1,ESSFdc1/111,Sx,1
ESSFdc1,ESSFdc1/112,Bl,2
ESSFdc1,ESSFdc1/112,Sx,1
ESSFdc2,ESSFdc2/01,Bl,1
ESSFdc2,ESSFdc2/01,Pl,1
ESSFdc2,ESSFdc2/01,Sx,1
ESSFdc2,ESSFdc2/02,Bl,3
ESSFdc2,ESSFdc2/02,Fd,3
ESSFdc2,ESSFdc2/02,Pa,3
ESSFdc2,ESSFdc2/02,Pl,2
ESSFdc2,ESSFdc2/02,Sx,3
ESSFdc2,ESSFdc2/03,Bl,2
ESSFdc2,ESSFdc2/03,Pa,3
ESSFdc2,ESSFdc2/03,Pl,1
ESSFdc2,ESSFdc2/03,Sx,3
ESSFdc2,ESSFdc2/04,Bl,2
ESSFdc2,ESSFdc2/04,Fd,2
ESSFdc2,ESSFdc2/04,Pa,3
ESSFdc2,ESSFdc2/04,Pl,1
ESSFdc2,ESSFdc2/04,Sx,3
ESSFdc2,ESSFdc2/05,Bl,2
ESSFdc2,ESSFdc2/05,Pl,1
ESSFdc2,ESSFdc2/05,Sx,1
ESSFdc2,ESSFdc2/06,Bl,2
ESSFdc2,ESSFdc2/06,Pl,1
ESSFdc2,ESSFdc2/06,Sx,1
ESSFdc2,ESSFdc2/07,Bl,2
ESSFdc2,ESSFdc2/07,Pl,2
ESSFdc2,ESSFdc2/07,Sx,1
ESSFdc2,ESSFdc2/08,Bl,3
ESSFdc2,ESSFdc2/08,Pl,2
ESSFdc2,ESSFdc2/08,Sx,1
ESSFdc3,ESSFdc3/01,Bl,1
ESSFdc3,ESSFdc3/01,Pl,2
